TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SWOD-AJ6RHL,Rosie's Country Cafe,3033 King George Blvd,Surrey,Restaurant,49.05684662,-122.80812836
HCAR-CHBNBL,Y Cafe,14988 57th Ave,Surrey,Restaurant,49.10570696,-122.80710098
SHEN-B5KPPF,Chatime,2950 King George Blvd,Surrey,Restaurant,49.05568314,-122.80555725
NDAA-AC7PA5,McDonald's Restaurant of Canada #14909,1000 Guildford Town Centre,Surrey,Restaurant,49.18799813,-122.80465449
SHEN-9ZGSYW,Cupcakes (Surrey),10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
HCAR-BEUQ9M,Hula Poke at Guildford Town Centre,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
SHEN-A6LW3S,Carl's Jr. Restaurants,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
HCAR-BGMTVD,Mucho Burrito Fresh Mexican Grill (Panorama Village),15157 56 Ave,Surrey,Restaurant,49.10533142,-122.802742
A019791    ,Save On Foods #903 - Deli,3033 152 St,Surrey,Restaurant,49.05707169,-122.80208588
HCAR-BKDN84,Jav's Kaldero Authentic Filipino Cuisine,15155 101 Ave,Surrey,Restaurant,49.18629837,-122.80223083
A019658    ,Purdy's Chocolates (South Surrey),1711 152 St,Surrey,Restaurant,49.03311539,-122.80166626
A017345    ,Danica's Bistro,1959 152 St,Surrey,Restaurant,49.03727341,-122.8014679
HCAR-BMYLB6,South Surrey Pizza,2982 152nd St,Surrey,Restaurant,49.05604104,-122.80108245
HCAR-CBGV5W,Willowbrae Academy South Surrey - Food Service,3211 152nd St,Surrey,Restaurant,49.06170576,-122.8012311
HCAR-B8Y2BQ,Freshii - Panorama,5717 152 St,Surrey,Restaurant,49.10654449,-122.80143738
HCAR-CEYRRY,COBS Bread #9066,5717 152nd St,Surrey,Restaurant,49.1065154,-122.80106069
SHEN-AZETAN,Ding Sushi,6351 152 St,Surrey,Restaurant,49.11798096,-122.80127716
SWOD-AFGPCU,Pho 99 Vietnamese Noodle House (Surrey),8934 152 St,Surrey,Restaurant,49.16515732,-122.80078125
HCAR-ASNTAD,Swagat Indian Sweets and Restaurant,9547 152 St,Surrey,Restaurant,49.17590332,-122.80128479
HCAR-CFZPZV,D-Plus Pizza (152nd St),9547 152nd St,Surrey,Restaurant,49.17591287,-122.80110206
HCAR-BDGRHU,Bubble Tea Share Tea,9965 152 St,Surrey,Restaurant,49.18379211,-122.80126953
GEDS-68T2FB,Starbucks Coffee #4468,10174 152 St,Surrey,Restaurant,49.18723297,-122.80063629
HCAR-BAHMN8,Mr. Tonkatsu,10320 152 St,Surrey,Restaurant,49.19010925,-122.80059814
GEDS-6LJUGF,Peninsula Resort Retirement Food Service,2088 152 St,Surrey,Restaurant,49.03966904,-122.80095673
HCAR-B83S78,Pizza Pizza #551,2370 152 St,Surrey,Restaurant,49.04507446,-122.80095673
GEDS-76HV2F,Gurdwara Dukh Nivaran Sahib Society,15255 68 Ave,Surrey,Restaurant,49.12656403,-122.79989624
LCAL-7FFQXD,De Dutch Pannekoek House (Fraser Hwy),15235 Fraser Hwy,Surrey,Restaurant,49.16586304,-122.80028534
GEDS-642SW4,Pearl Fever (Surrey),10330 152 St,Surrey,Restaurant,49.19026947,-122.8000946
HCAR-B6GVC8,Royal Punjab Sweets,15299 68 Ave,Surrey,Restaurant,49.12656403,-122.79923248
GEDS-7XFNQZ,Non Stop Pizza & Surrey Delta Tiffin Delivery Service,15272 Fraser Hwy,Surrey,Restaurant,49.16507339,-122.79930878
