TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
GEDS-7WNLD2,A1 Coffee & Donuts,Surrey,14795 108 Ave,-122.81272888,49.19888306,513642.8584131081,5449581.927456853
SPLH-9KJSG4,Momotaro Japanese Restaurant,Surrey,3189 King George Blvd,-122.81161499,49.05963898,513762.49283864105,5434102.688743744
HCAR-BLQQDV,Mauna Sushi,Surrey,14839 108th Ave,-122.81071832,49.19943029,513789.17718650395,5449643.126824742
A019660    ,Panago #07,Surrey,14851 108 Ave,-122.81019592,49.19943619,513827.23238034616,5449643.878025412
SHEN-AASVAD,Elvis Pizza,Surrey,14916 104 Ave,-122.80825043,49.19133759,513971.2420114286,5448743.922430428
GEDS-6X9W53,Cactus Club Cafe (South Point),Surrey,15079 32 Ave,-122.80492401,49.06027985,514251.11981204693,5434175.167520592
A018215    ,Pacific Life Bible College Cafeteria,Surrey,15100 66A Ave,-122.80362701,49.12335587,514327.70817781735,5441187.380142757
GEDS-6KQRZZ,Akasaka Japanese Restaurant (Surrey),Surrey,15110 101 Ave,-122.80339813,49.18597031,514326.33932348556,5448148.155189175
SHEN-A7GQWB,Saint Germain Bakery,Surrey,10355 152 St,-122.80426788,49.19192505,514261.2492276861,5448809.972368722
NDAA-9C3S9V,Thai Express,Surrey,10355 152 St,-122.80426788,49.19192505,514261.2492276861,5448809.972368722
SDFO-8KMTQB,Kwantlen Pizza Sweets & Snacks,Surrey,15122 72 Ave,-122.8026123,49.1335144,514398.80117569375,5442316.872375475
PNEL-8RHMTB,Bharat Sweets & Restaurant,Surrey,15166 Fraser Hwy,-122.80239105,49.16628647,514405.4360302945,5445960.121942288
NDAA-A4NNJN,Boiling Point,Surrey,15146 100 Ave,-122.80224609,49.18396759,514410.8697717919,5447925.733983691
SHEN-ALTU9K,Boom Bee,Surrey,15155 101 Ave,-122.80223083,49.18629837,514411.30492027657,5448184.846769999
GEDS-7MU2N7,Murchie's Tea & Coffee,Surrey,1711 152 St,-122.80166626,49.03311539,514497.0067030019,5431156.01859308
GEDS-65SNSU,Fortune Wok (Surrey),Surrey,1711 152 St,-122.80166626,49.03311539,514497.0067030019,5431156.01859308
HCAR-BTGT9Y,A&W #0807,Surrey,1701 152nd St,-122.80122319,49.03303118,514529.41696744045,5431146.74206559
HCAR-CCYV9Z,WC Zaika Indian Cuisine,Surrey,1724 152nd St,-122.80114298,49.03337774,514535.178879534,5431185.283048369
HCAR-BP6UHP,Freshii (152nd St),Surrey,1767 152nd St,-122.80164304,49.03378679,514498.50883489236,5431230.659753928
HCAR-BJZMT2,Mastro Pizza,Surrey,1959 152 St,-122.8014679,49.03727341,514510.29619479674,5431618.286307071
HCAR-CG5TWW,Chicago's Pizza Twist (152nd St),Surrey,2670 152nd St,-122.80118205,49.0509293,514527.2100671625,5433136.411882269
HCAR-CEZUTT,West Village Cafe,Surrey,5620 152nd St,-122.80097994,49.10486494,514526.24092561105,5439132.295999155
GEDS-7XGUJU,Time Out - California Gourmet Pizza,Surrey,6351 152 St,-122.80127716,49.11798096,514500.72407178703,5440590.311828979
A019772    ,Eagle Quest Golf Centers Main Banquet Kitchen,Surrey,7778 152 St,-122.80072021,49.14390564,514533.78435947973,5443472.405429907
