TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
A013876    ,Gurdwara Sahib Dasmesh Darbar,Surrey,12885 85 Ave,-122.86528015,49.1578064,509822.5807519791,5445007.346901111
GEDS-7A3RL8,Kimbelee Place,Surrey,12935 96 Ave,-122.86410522,49.17733765,509904.3497523974,5447178.758799416
HCAR-CALPZ6,Wok One,Surrey,8145 130th St,-122.86234512,49.1508377,510037.98511885497,5444233.033897867
HCAR-AUHPDL,Tim Hortons #7386,Surrey,12941 115 Ave,-122.86243439,49.21147537,510019.22692931554,5450974.033915615
GEDS-5Z6MPG,Canadian Singh Sabha Gurdwara Society,Surrey,8115 132 St,-122.85710907,49.15020752,510419.9372080524,5444163.685074249
HCAR-CKKQ2M,Ice N Spice Restaurant & Bar,Surrey,8553 132nd St,-122.85695236,49.15792174,510429.74520074896,5445021.282496633
A020029    ,Kwantlen Park Secondary School Cafeteria,Surrey,10441 132 St,-122.85668182,49.19221878,510442.25367627235,5448834.073475906
NDAA-8YPQCC,Anand Pizza and Sweet Shop,Surrey,13245 72 Ave,-122.85542297,49.13385391,510546.3611222503,5442345.921039083
SWOD-APVTT6,Taj Park Convention Centre,Surrey,8580 132 St,-122.85548401,49.15857697,510536.6650304998,5445094.326526361
ACAK-9C6MAB,Bon Accord Care Services Ltd,Surrey,13350 Old Yale Rd,-122.8526001,49.18612289,510740.9698220206,5448156.971397804
JDSO-ACFM44,Waves Coffee House,Surrey,10777 University Dr,-122.85109711,49.19836044,510847.8159514368,5449517.620963026
SDFO-8MLMNB,Cafe Central,Surrey,10350 University Dr,-122.84945679,49.1906662,510969.01703542063,5448662.496656929
GEDS-6M4MKD,Sub Garden #1,Surrey,13482 72 Ave,-122.84889221,49.13339233,511022.8581649569,5442295.537829387
JDSO-AEFNMX,Spice of Nepal,Surrey,13486 72 Ave,-122.84879303,49.13339233,511030.0930448483,5442295.552263689
HCAR-BEYQ33,Take Five Cafe,Surrey,13450 104 Ave,-122.84889984,49.19146347,511009.42110627855,5448751.20913647
HCAR-C8FQZ5,OPA Souvlaki of Greece (Surrey),Surrey,10153 King George Blvd,-122.84740187,49.18559446,511119.88098037505,5448098.977005881
HCAR-B7KUTN,Central Cafe,Surrey,10252 City Pky,-122.84738922,49.18909454,511120.0183951426,5448488.078640997
NDAA-BC2QPR,Donair Hub,Surrey,10277 City Parkway,-122.84788513,49.18955231,511083.7815555717,5448538.895683097
A018996    ,Pho Tam Vietnamese Restaurant,Surrey,10302 City Pky,-122.84738922,49.18995667,511119.82517871744,5448583.9206554545
SHEN-APFTAF,The Gourmet Lunch Ladies,Surrey,10727 135A St,-122.84725952,49.19752884,511127.57704084454,5449425.729884554
HCAR-BG7R7C,Pardesi Sweets and Restaurant,Surrey,13588 88 Ave,-122.84686279,49.16252899,511164.34985231416,5445534.901090583
SYOG-5M553P,Queen Elizabeth Secondary School Cafeteria,Surrey,9457 136th St,-122.84658981,49.17448202,511181.559216324,5446863.741294389
HCAR-B6J22M,Nickerson Place (Site #2),Surrey,13550 105 Ave,-122.84676361,49.19296265,511164.73311522155,5448918.184240927
SHEN-A63QD6,Barcelos Flame Grilled Chicken (King George),Surrey,7577 King George Blvd,-122.84593964,49.14042282,511236.6498511027,5443077.5360310795
HCAR-BMRL7Y,Time to Grill Corp,Surrey,8005 King George Blvd,-122.84611974,49.14834266,511221.7254720258,5443957.942043698
SWOD-A59RBM,Blenz Coffee (Central City South),Surrey,10153 King George Blvd,-122.84584808,49.18592072,511233.03232699516,5448135.476326191
SHEN-A7TNAC,Wal-mart Supercentre #1205 - Deli,Surrey,10153 King George Blvd,-122.84584808,49.18592072,511233.03232699516,5448135.476326191
MARO-AWURFL,Quesada - Burritos & Tacos,Surrey,10153 King George Blvd,-122.84584808,49.18592072,511233.03232699516,5448135.476326191
ACAK-985LYR,Neptune Seafood Restaurant & Neptune Wonton Noodle,Surrey,10153 King George Blvd,-122.84584808,49.18592072,511233.03232699516,5448135.476326191
A018782    ,Subway #17467,Surrey,10153 King George Blvd,-122.84584808,49.18592072,511233.03232699516,5448135.476326191
GEDS-6FYVJP,White Spot #658,Surrey,13580 102 Ave,-122.84597778,49.18766785,511223.1859431975,5448329.683456124
SDFO-8MYVG8,Bubble 88,Surrey,10209 King George Blvd,-122.84606171,49.18806458,511216.9805070232,5448373.7750276355
HCAR-BRXMC2,Rickshaw Chinese Food,Surrey,10505 King George Blvd,-122.84566372,49.1934541,511244.7591753974,5448972.981023594
SDFO-87RMVS,Nightshift Street Ministries (kitchen),Surrey,10635 King George Blvd,-122.8454361,49.19579315,511260.81232723076,5449233.044625127
SHEN-BCSV32,Royal Canadian Legion Branch #229 (King George Blvd),Surrey,10767 King George Blvd,-122.84600067,49.19833755,511219.1048840709,5449515.819218766
RORS-64MN7M,Subway #27963,Surrey,6468 King George Blvd,-122.84518433,49.12029648,511296.3112868029,5440840.249004435
A020094    ,Boston Pizza #73,Surrey,7488 King George Blvd,-122.84525299,49.13853836,511287.15972022136,5442868.14665174
SYOG-5M5622,Real Canadian Superstore #1521 - Deli,Surrey,7550 King George Blvd,-122.84526062,49.1396637,511286.34766565094,5442993.247187541
SWOD-AHGU84,Freshslice Pizza - Park Place,Surrey,9908 King George Hwy,-122.84499359,49.18334579,511295.88498722785,5447849.351667121
GEDS-6TKTH5,Izumo Sushi Japanese Restaurant,Surrey,13631 100 Ave,-122.84428406,49.1844368,511347.34155391535,5447970.743997745
SDFO-8BWQEE,Vlassis Souvlaki & Greek Taverna,Surrey,10028 King George Blvd,-122.8449707,49.18496704,511297.1839900614,5448029.58743543
A019543    ,Save On Foods #2207 - Deli,Surrey,10312 King George Blvd,-122.84488678,49.18972778,511302.21493237605,5448558.845819538
NDAA-8R8UMV,Fiji Canada Association,Surrey,13629 108 Ave,-122.84436035,49.19896698,511338.4609713818,5449586.036777465
SPLH-ASQPK5,What The Pho,Surrey,13655 72 Ave,-122.84391785,49.13373947,511385.6431178639,5442334.864238113
HCAR-CKYMPJ,Rice and Noodle (George Jct),Surrey,13639 George Jct,-122.84348076,49.18178047,511406.49017078883,5447675.563856017
HCAR-AVPVK9,Merienda Bakeshop,Surrey,10059 Whalley Blvd,-122.84367371,49.18533707,511391.61233894975,5448070.917572223
HCAR-CCYL2T,Samosa Village,Surrey,13652 Grosvenor Rd,-122.84390376,49.19981323,511371.5298526954,5449680.182088097
RORS-67JTWY,Surrey Memorial Hospital #63229 (Java Express),Surrey,13750 96 Ave,-122.84243774,49.17682266,511483.6482213312,5447124.568406341
NDAA-9NUQZV,Starbucks Coffee #22435,Surrey,13737 96 Ave,-122.84275055,49.17720795,511460.760665857,5447167.353167394
DMIL-AC3L9S,Boulevard Shelter,Surrey,10677 Whalley Blvd,-122.84266663,49.19652939,511462.4129296855,5449315.307386382
GEDS-72NPVF,Creekside Withdrawal Management Centre,Surrey,13740 94A Ave,-122.84204865,49.17451096,511512.54245551716,5446867.639053741
SHEN-AZMNFV,Kim's Deli,Surrey,13740 104 Ave,-122.84137726,49.19140625,511557.5425327847,5448745.9693607
SWOD-AHFN3G,Captain Meat & Poultry Ltd (72nd Ave),Surrey,13753 72 Ave,-122.8405838,49.13376999,511628.84309529635,5442338.763463854
SHEN-9YPQN6,Don Chepe's Restaurant,Surrey,13780 104 Ave,-122.84050751,49.19140625,511620.91408263234,5448746.102517727
HCAR-BYGRUE,Carr's Place (13804 Surrey),Surrey,13804 Grosvenor Rd,-122.83926505,49.20210079,511708.91727241856,5449935.195311168
A017823    ,Dairy Queen #27109,Surrey,7115 138 St,-122.83917999,49.13203812,511731.6546526461,5442146.4517634865
HCAR-BLGQR2,Spice Villa,Surrey,7115 138 St,-122.83917999,49.13203812,511731.6546526461,5442146.4517634865
A014563    ,Westminster House Food Service,Surrey,1653 140 St,-122.83638763,49.03243637,511959.24664960604,5431074.4817961035
HCAR-CJMNKL,Circle K #11109,Surrey,13983 16th Ave,-122.8349884,49.03124986,512061.81016171235,5430942.803926366
GEDS-68DU3X,Vedic Hindu Cultural Society,Surrey,8321 140 St,-122.83495331,49.15294647,512034.9224133495,5444471.4531695
SDFO-8L8SZK,7-Eleven #34907,Surrey,13993 Fraser Hwy,-122.83482361,49.17928314,512037.99374909716,5447399.27934622
HCAR-BA9QLB,Belles Cafe,Surrey,14007 32 Ave,-122.83325195,49.06040573,512181.6150247396,5434184.225053998
GEDS-69G2FV,Occasions at the Pond,Surrey,14245 56 Ave,-122.82796478,49.10531998,512556.5351705507,5439178.060574699
SHEN-ANSLB4,Top In Town Pizza,Surrey,14330 64 Ave,-122.8252182,49.1185112,512753.62108050234,5440644.952148244
JDSO-AD4M9J,Donair Affair,Surrey,14350 64 Ave,-122.82463074,49.11891937,512796.38231705903,5440690.426410722
HCAR-CBWPBX,Lyra Lou Cakes,Surrey,14370 64th Ave,-122.82418365,49.11909474,512828.96043220686,5440709.99744436
HPAR-AFGRCA,7-Eleven (Canada Store #37865H),Surrey,14445 64 Ave,-122.82268524,49.11930466,512938.24170080165,5440733.588470843
JDSO-ACAMN8,McDonald's #22357,Surrey,14476 104 Ave,-122.82080078,49.1913147,513056.805871895,5448739.137220576
GEDS-6TCTLH,Bento Nouveau (RCSS #1556),Surrey,14650 104 Ave,-122.81602478,49.19123459,513404.81605247344,5448731.066249042
HCAR-C5JLE4,Greek Island Pizza,Surrey,14657 108th Ave,-122.81597504,49.19877404,513406.40251556714,5449569.227768533
A016828    ,South Surrey Ice Arena - Upper Concession,Surrey,2199 148 St,-122.81524658,49.04156876,513502.0790434871,5432093.239309666
HCAR-BEFPJF,Softball City - Bullpen,Surrey,2201 148 St,-122.81479645,49.04327393,513534.51252737705,5432282.876433397
HCAR-BANUBQ,UR Restaurant,Surrey,14752 108A Ave,-122.81371307,49.19953156,513570.9819450187,5449653.843637853
ACAK-8XGSTR,Guildford Pizza & Pasta,Surrey,10790 148 St,-122.81225586,49.19814301,513677.52236694796,5449499.7421991145
GEDS-7J4MNB,Freedom Place,Surrey,10342 148 St,-122.81169891,49.19020081,513720.2936238552,5448616.917146833
NDAA-9GUMV3,Sportica's Excellent Ice - On Ice Grill,Surrey,15000 54A Ave,-122.80802155,49.10157776,514013.2078713065,5438765.543891166
GEDS-84RPVZ,Surrey Damiko Sushi,Surrey,2950 King George Blvd,-122.80555725,49.05568314,514206.1689405837,5433664.049549562
HCAR-BU7L35,Eggcetra Breakfast Cafe,Surrey,2940 King George Blvd,-122.80546001,49.05558062,514213.3026111018,5433652.671002571
HCAR-BZFNNA,Tiny Hoppers Early Learning South Surrey - Food Service,Surrey,15045 32nd Ave,-122.80548186,49.06120801,514210.1019348572,5434278.243006572
HCAR-AVZUVM,Fresh Street Market #8 - Sandwich Bar,Surrey,15127 Hwy 10,-122.8052317,49.10542516,514215.75008643745,5439193.767954931
SPLH-9KHPNC,Landmark Cinemas 12 Guildford Surrey - Concession,Surrey,15051 101 Ave,-122.80501556,49.18627167,514208.3912978895,5448181.352182909
NDAA-8R5QP2,Guildford Wal-Mart #3098 Bakery/Deli,Surrey,1000 Guildford Town Centre,-122.80465449,49.18799813,514234.20696579403,5448373.3484705
NDAA-9BHTGZ,Kung Pao Wok,Surrey,10355 152 St,-122.80426788,49.19192505,514261.2492276861,5448809.972368722
NDAA-9H3PTE,Curry Indian Cuisine,Surrey,10355 152 St,-122.80426788,49.19192505,514261.2492276861,5448809.972368722
SHEN-AZET3G,Presotea Guildford Mall,Surrey,10355 152nd St,-122.8042654,49.19192586,514261.4296901668,5448810.062882741
SYOG-5M546R,Peace Portal Alliance Church - Commercial Kitchen,Surrey,15128 27B Ave,-122.80344391,49.05269623,514361.4318442361,5433332.404026314
NDAA-9R9MQD,Scott Hill Pizza,Surrey,15154 Fraser Hwy,-122.80266571,49.16640091,514385.3805318016,5445972.791839566
SHEN-ABJTGL,Il Uk Jo Restaurant Ltd.,Surrey,15188 Fraser Hwy,-122.80203247,49.16616058,514431.61261827045,5445946.195229679
HCAR-C2CTRL,Hang Lee Wok (Surrey),Surrey,1711 152nd St,-122.80166896,49.0331143,514496.80966602045,5431155.896906515
HCAR-B9MRLV,COBS Bread #9066,Surrey,5717 152 St,-122.80143738,49.10654449,514492.3638084598,5439318.919314233
A019571    ,Newton Girls Softball Concession (Sullivan Park),Surrey,6272 152 St,-122.8007431,49.11688232,514540.0153160127,5440468.28116984
HCAR-BGKPMK,Fraserview Meats,Surrey,8926 152 St,-122.80078125,49.16508484,514523.13971629983,5445826.846178296
HCAR-BTGUAP,D-Plus Pizza (152nd St),Surrey,9547 152nd St,-122.80128332,49.17590414,514483.3821855713,5447029.51491626
HCAR-CK7MWZ,Hellcrust Pizza (Guildford),Surrey,10070 152nd St,-122.80084044,49.18554052,514512.84327480587,5448100.86313911
A019458    ,Canadian 2 For 1 Pizza (152nd St),Surrey,10070 152 St,-122.80059814,49.18541336,514530.53700430697,5448086.773399169
A018937    ,Jade Valley Restaurant,Surrey,10090 152 St,-122.80058289,49.18575287,514531.54886019666,5448124.51922846
HCAR-BJAVC6,Red Robin Gourmet Burgers (Guildford),Surrey,10237 152 St,-122.80130005,49.18841553,514478.51242112095,5448420.386478016
A019157,McDonald's #8159,Surrey,10250 152nd St,-122.80093394,49.18882597,514505.0694688608,5448466.0846898435
HHIN-BTGPG4,Zad Halal Market,Surrey,10330 152nd St,-122.80084479,49.19019334,514511.1655221903,5448618.110692843
HCAR-CAVRAM,Chicko Chicken (Guildford),Surrey,10330 152nd St,-122.80084479,49.19019334,514511.1655221903,5448618.110692843
HCAR-CARRJV,Milestones Restaurants (Store #5262),Surrey,10355 152nd St,-122.80092499,49.19062472,514505.19574916066,5448666.051337565
HPAR-AFGPRP,7-Eleven (Canada Store #37866H),Surrey,10376 152 St,-122.80052185,49.19106674,514534.4402193383,5448715.267519867
HCAR-BJTP2Z,Pho Hoa Restaurant,Surrey,1724 152 St,-122.80094147,49.03325272,514549.9444255094,5431171.423719597
A016904    ,Starbucks Coffee #194,Surrey,1730 152 St,-122.80092621,49.0334053,514551.01533613616,5431188.388324549
GEDS-6VQNPM,Baselines Pub,Surrey,1938 152 St,-122.80091858,49.03725052,514550.4514994367,5431615.846917733
NDAA-9KDS9C,Branch 8 Canteen,Surrey,2290 152 St,-122.8009491,49.04346848,514546.4073942868,5432307.066447338
GEDS-6HQPVN,Starbucks Coffee #4593,Surrey,2670 152 St,-122.80093384,49.05026627,514545.5396576645,5433062.752959039
HCAR-BCLQZF,Punje Spice Restaurant,Surrey,2828 152 St,-122.80090332,49.0532608,514546.8960129087,5433395.649220695
HCAR-BD3QD4,Pizza Empire,Surrey,2982 152 St,-122.80091095,49.05569839,514545.62732021714,5433666.625412129
NDAA-9C4RHK,Subway #26341,Surrey,2990 152 St,-122.80089569,49.05622864,514546.58750367863,5433725.574239338
GEDS-65FPRC,Kim Hoang Restaurant,Surrey,10330 152 St,-122.8000946,49.19026947,514565.804684442,5448626.718054822
HCAR-CF5U8D,Reflections Banquet and Convention Centre,Surrey,6638 152A St,-122.79937176,49.12314231,514638.24115255696,5441164.452503865
HCAR-BZ8NLM,Kwantlen Pizza & Sweets (152A St),Surrey,6680 152A St,-122.79940958,49.12399062,514635.23209062376,5441258.749742593
HCAR-BJKP2Z,Super Vege Pizza (Unit 117),Surrey,15299 68 Ave,-122.79923248,49.12656403,514647.395446378,5441544.863731454
A019565    ,On Yuen Chinese Restaurant,Surrey,9014 152 St,-122.79924011,49.16697311,514634.9329658632,5446037.058780235
SPLH-ARLUG4,Lazeez Pizza,Surrey,9014 152 St,-122.79924011,49.16697311,514634.9329658632,5446037.058780235
SHEN-9YTPMB,Chan's Kitchen,Surrey,15277 100 Ave,-122.79878998,49.18444061,514662.5860786835,5447978.982638001
HCAR-B8BV64,Lele Cafe,Surrey,15300 105 Ave,-122.79771423,49.19317627,514738.3831029635,5448950.32446248
HCAR-BANTTS,Sushi Mori Japanese Restaurant (South Surrey),Surrey,15355 24 Ave,-122.79750824,49.0458374,514797.15839869896,5432571.075294534
ACAK-9CAMG4,Safeway #4914 - China Kitchen,Surrey,15355 24 Ave,-122.79750824,49.0458374,514797.15839869896,5432571.075294534
SHEN-9QASZ2,The Taphouse,Surrey,15330 102A Ave,-122.79749298,49.18861389,514755.86003113387,5448443.173030641
ACAK-8UDNUP,Newton Pizza (South Surrey),Surrey,2570 King George Blvd,-122.79711151,49.04892349,514825.23206293996,5432914.221261627
GEDS-66CSJH,Sunnyside Park Concession,Surrey,15455 26 Ave,-122.79443359,49.04941177,515020.76271832915,5432969.028237028
NDAA-9DGPS6,Whitecliff Residence Foods Services,Surrey,15501 16 Ave,-122.79307556,49.0312767,515125.4923648346,5430953.296020619
SHEN-B7BQC5,Best Western Peace Arch Inn,Surrey,2293 King George Blvd,-122.79142761,49.04345703,515242.2298483319,5432307.66286018
HCAR-BV7NVA,German Doner Kebab (Fleetwood),Surrey,15551 Fraser Hwy,-122.79125861,49.16241879,515218.1611241561,5445532.3357851105
A016980    ,Fleetwood Park Secondary School,Surrey,7940 156 St,-122.7898407,49.14718628,515326.2315945493,5443839.25181827
HCAR-C5ETLE,Save On Foods #2255 - Deli,Surrey,15615 104th Ave,-122.78905179,49.19271477,515369.66428113385,5448900.742757964
HCAR-BMFNK2,Ricky's Country Restaurant (King George Blvd),Surrey,2160 King George Blvd,-122.78780138,49.0414101,515507.86682730354,5432080.8487676745
SDFO-8MYUXQ,Sushi Castle,Surrey,15785 Croydon Dr,-122.78437042,49.04726791,515756.75672208465,5432732.745053516
NDAA-93TW5R,Starbucks Coffee #18290,Surrey,15850 26 Ave,-122.78305054,49.04901123,515852.6503719959,5432926.818073928
HCAR-CF2UBV,Famoso Italian Pizzeria & Breakfast Trattoria,Surrey,15865 Croydon Dr,-122.78245943,49.04587135,515896.8440835033,5432577.893674876
GEDS-7HQP4F,Wal-Mart #5853 - Deli/Bakery,Surrey,2355 160 St,-122.78143311,49.04439163,515972.3165888864,5432413.614663686
HCAR-BQ9U6G,Delight Indian Bistro,Surrey,2215 160th St,-122.77977157,49.0420561,516094.491313398,5432154.334328136
HCAR-AWTMSA,Sunny Dragon Restaurant,Surrey,15988 Fraser Hwy,-122.77954102,49.15724945,516074.0969765528,5444960.0901448475
HCAR-C43TDY,Subway #28648,Surrey,15976 108th Ave,-122.77942957,49.19859349,516068.8333258295,5449556.272012369
JDSO-ACANKX,Dad's Donair & Specialty Foods,Surrey,15989 108 Ave,-122.77929688,49.19895935,516078.38135592197,5449596.972474716
HCAR-C4YRFV,Steve's Poke Bar (Grandview Corners),Surrey,2245 160th St,-122.77955252,49.04289123,516110.2299176189,5432247.218849282
SDFO-87TMCK,Five Guys Burgers & Fries,Surrey,2245 160 St,-122.77955627,49.04289246,516109.95547173306,5432247.354787135
SPLH-AZWSP7,Top In Town Pizza (Fraser Hwy),Surrey,16016 Fraser Hwy,-122.77828217,49.15693283,516165.9851768196,5444925.160012968
SODN-672P3Z,Nesters Market Deli & Bakery,Surrey,16033 108 Ave,-122.77775574,49.19896698,516190.65194377536,5449598.149215377
HCAR-BP5QNJ,Chicago Pizza,Surrey,16033 108th Ave,-122.77775438,49.1989669,516190.75104678294,5449598.140612776
SHEN-AZ7MAQ,Big Star Sandwich Co (24th Ave),Surrey,16050 24 Ave,-122.77767944,49.04470444,516246.52322412166,5432449.185555948
HCAR-B7YPEQ,Papa Joe's Pizza,Surrey,16055 Fraser Hwy,-122.77709961,49.15694046,516252.20593837986,5444926.2613145495
NDAA-8WZLHY,Dragon's Chop Suey House,Surrey,16055 Fraser Hwy,-122.77709961,49.15694046,516252.20593837986,5444926.2613145495
HCAR-BYXN55,Papa Joe's Pizza,Surrey,16055 Fraser Hwy,-122.77710268,49.1569391,516251.9825423769,5444926.10946706
A019745    ,Fraser Heights Secondary School Cafeteria,Surrey,16060 108 Ave,-122.77693176,49.19859695,516250.8006608357,5449557.189941481
SWOD-AEQPQX,Real Canadian Superstore #1551 - Deli,Surrey,2332 160 St,-122.77640533,49.04383087,516339.91752399324,5432352.347909055
GEDS-6E3N2T,Crescent Gardens Food Service,Surrey,1222 King George Blvd,-122.7667923,49.02445221,517049.04182734585,5430200.218840373
HCAR-BU4N2D,Sushi Shun,Surrey,16780 64th Ave,-122.75753449,49.11868842,517692.3546534282,5440678.249611707
SWOD-9YWMPT,Surrey Golf Club Bar,Surrey,7700 168 St,-122.75631714,49.14223862,517772.7627661086,5443296.554615971
HCAR-C48QP5,Cafe Rosen,Surrey,10422 168th St,-122.75625586,49.19205936,517759.4049435773,5448835.058227593
HCAR-AYVN47,Original Joe's Restaurant & Bar,Surrey,17455 No 10 Hwy,-122.73959754,49.10436862,519006.6560618466,5439090.699399581
HCAR-BEFMFE,Sweet Avenue Bakery,Surrey,17455 No 10 Hwy,-122.73959754,49.10436862,519006.6560618466,5439090.699399581
HCAR-BJCUNS,Coast & Country Diner,Surrey,17608 56 Ave,-122.73468018,49.10399246,519365.7179260588,5439050.127484052
SDFO-8LML24,Panago #80,Surrey,5669 176A St,-122.73387909,49.10533524,519423.6654053282,5439199.6054383535
NDAA-8ZRP23,The Henry Public House,Surrey,5708 176 St,-122.73474884,49.10625076,519359.8278803992,5439301.158653206
PNEL-8QKN49,Canuel Caterers - Agriplex,Surrey,6050A 176 St,-122.73472595,49.11225891,519359.160833833,5439969.073716606
JDSO-AE2MNU,Golden Medal Restaurant,Surrey,5619 176A St,-122.73383331,49.10463715,519427.2793143363,5439122.012518289
SHEN-9SSQ9R,Rangoli Catering & Sweets Ltd.,Surrey,17665 66A Ave,-122.7332077,49.12352371,519465.5508278689,5441221.740783415
HCAR-AZXQVR,Save On Foods #2215 - Wine,Surrey,17745 64 Ave,-122.73192596,49.11971664,519560.56554117135,5440798.8486240255
HCAR-C74PTX,Umami Sushi (64th Ave),Surrey,17725 64th Ave,-122.73152221,49.11879843,519590.3875840338,5440696.877911184
GEDS-75PLQX,Rusty's Neighbourhood Pub,Surrey,17770 56 Ave,-122.73039246,49.10255432,519679.2473319431,5438891.357990724
HCAR-CFSMBY,Grewal Sweets & Food / Khalas Sweets & Food,Surrey,17760 56th Ave,-122.73060109,49.10412243,519663.3994176989,5439065.626058053
ACAK-96MPND,Elements Casino - Foodies,Surrey,17755 60 Ave,-122.72962952,49.11171722,519731.3023702461,5439910.169855364
NDAA-9FJTXM,Pacific Community Church,Surrey,5337 180 St,-122.72419739,49.0997963,520132.55420099094,5438586.3839571215
A017390    ,Clover Hill Market,Surrey,5996 184 St,-122.71237183,49.11122513,520990.95334083156,5439860.101941015
HCAR-BDRV5B,Aka Sushi,Surrey,18408 64 Ave,-122.71199036,49.11859131,521015.68076530454,5440679.085856397
HCAR-BCSPHK,The Lunch Lady (Surrey),Surrey,18651 52 Ave,-122.70622253,49.09727478,521445.73620444257,5438311.003808517
HCAR-BKDQCL,Yotii Frozen Yogurt & Bubble Tea,Surrey,18696 Fraser Hwy,-122.70365906,49.12429047,521621.12625020655,5441314.990488563
HCAR-BCLQF8,Sockeye Sushi,Surrey,18818 68 Ave,-122.70109558,49.12601089,521807.40385360236,5441506.979829454
MARO-B8MT96,O My Tea Cafe,Surrey,6820 188 St,-122.70143127,49.12660599,521782.652009393,5441573.039041822
HCAR-BA9R6L,The Bean Factory,Surrey,18812 96 Ave,-122.70088959,49.17684555,521800.1158396373,5447158.225033775
SHEN-9YTQ9N,Tobiko Sushi,Surrey,2711 192 St,-122.69181824,49.05150986,522517.9229374487,5433227.654220769
SDFO-87ZM4C,Subway #47192,Surrey,2725 192 St,-122.69181824,49.05220032,522517.61110567517,5433304.409920299
HCAR-B7YVBD,Ike Sushi,Surrey,19188 72 Ave,-122.6915741,49.13346481,522498.69589682156,5442338.397695891
SWOD-AQNTUW,Ramada Hotel - Breakfast Bar,Surrey,19225 No 10 Hwy,-122.69026947,49.10466385,522606.9505738395,5439137.060151197
GEDS-76LVCK,Ricky's Country Restaurant - Cloverdale,Surrey,19219 56 Ave,-122.69015503,49.10427856,522615.4785223436,5439094.262738617
HCAR-BVJN4W,Corner Cafe (Surrey),Surrey,19415 56th Ave,-122.68521544,49.10463067,522975.8544386938,5439134.891329285
GEDS-7KMPWY,Delicious Korean Chicken,Surrey,19475 Fraser Hwy,-122.6827774,49.11542511,523148.78205672634,5440335.620275009
A019048    ,Samz Neighborhood Pub,Surrey,19580 56 Ave,-122.68049622,49.10422134,523320.4975593341,5439090.828562028
NDAA-9EWU8F,Chili House Restaurant,Surrey,19571 Fraser Hwy,-122.68063354,49.11450577,523305.6570659091,5440234.0768563
SHEN-B32QLT,Panago Pizza #34,Surrey,7310 120 St,-122.89000702,49.13578796,508023.27059128904,5442556.686866164
NDAA-BCKQA9,Krishna's Dosa Palace,Surrey,7500 120 St,-122.89006805,49.13913727,508018.2785702453,5442929.016117978
HCAR-BGUPAC,Showshaa,Surrey,7500 120 St,-122.89006805,49.13913727,508018.2785702453,5442929.016117978
HCAR-BM4PHM,Purple Tulip,Surrey,8140 120th St,-122.89006646,49.15114002,508016.4581091909,5444263.338415752
SHEN-A6QNHL,Chongqing Restaurant,Surrey,8220 120 St,-122.89004517,49.15256882,508017.78001581127,5444422.177742938
SHEN-ATTV6D,Kerala Kitchen,Surrey,9386 120 St,-122.88991547,49.17370605,508023.8218457356,5446771.98315862
GEDS-7MMUPB,Pizza 24 (Surrey),Surrey,9514 120 St,-122.88986969,49.17605209,508026.77930769755,5447032.794016736
SHEN-AMTPVU,Starbucks Coffee #29383,Surrey,10385 120 St,-122.89069366,49.19157791,507964.2327776262,5448758.693511903
HCAR-ATHRE5,Domino's Pizza #10063,Surrey,9450 120 St,-122.88900757,49.17459869,508089.85122591176,5446871.313299954
JRON-6M3P9A,Fraserway Meat,Surrey,12047 80 Ave,-122.88873291,49.14874268,508114.09331309504,5443996.972611853
SDFO-8HEPAH,KFC #1838,Surrey,12121 72 Ave,-122.88751984,49.1342659,508204.94532700075,5442387.749120818
GEDS-6WVQM8,PICS - Assisted Living Food Service,Surrey,12075 75A Ave,-122.88793945,49.14031601,508173.3417371293,5443060.281676557
SDFO-8C524N,Bread Garden Catering,Surrey,12117 86 Ave,-122.88712311,49.15976715,508229.66062017076,5445222.716894132
GEDS-65QN9E,Cineplex Odeon,Surrey,12161 72 Ave,-122.8864975,49.13501358,508279.39611092355,5442470.978303155
SDFO-8FEUYM,Hooked Fish Bar,Surrey,12157 Beecher St,-122.88477325,49.05231094,508419.1448991593,5433277.360812416
HCAR-C8TNU2,Fong's Eatery,Surrey,12308 Beecher St,-122.88084142,49.0528122,508706.3399640344,5433333.527826236
NDAA-97WT8K,The Cabin,Surrey,12302 Beecher St,-122.88098145,49.05286026,508696.1002700505,5433338.854413643
SPLH-9SZU57,Aria Banquet & Convention Centre,Surrey,12350 Pattullo Pl,-122.88030243,49.20319748,508719.311334182,5450051.575188043
RORS-65WV39,Subway #32336,Surrey,12355 Pattullo Pl,-122.87979889,49.20327759,508755.9773090798,5450060.539081584
SHEN-ABMQBQ,Kairali Village Restaurant,Surrey,12414 82 Ave,-122.87853241,49.15186691,508857.40222648415,5444345.43018915
NDAA-9PPQAD,Khalsa Secondary School (High School),Surrey,10677 124 St,-122.87891388,49.19613647,508821.71534417,5449266.770076207
ACAK-98UPSS,Bridgeview Community Centre,Surrey,11475 126A St,-122.8710556,49.21140671,509391.33709293866,5450965.295369417
MARO-B36VDN,Toor Sweets Ltd,Surrey,12736 80 Ave,-122.86972046,49.14802933,509500.70218550524,5443919.881495874
HCAR-C7ZMG9,Sidhu Meat Corner,Surrey,12788 76A Ave,-122.86855856,49.14218908,509586.5608795328,5443270.778839388
HCAR-C5AP8V,Aarav Punjabi Kulfi,Surrey,8334 128th St,-122.86795305,49.15416406,509628.40250587056,5444602.09118371
